Filename,DateTime,Symbol,Name,TotalHolders,Rank,Address,Percentage,Insider,Bundler,IsPool
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,92,8LFCMVe4LDk1kRrmz7ReMAo7kzdp61CFUNki38bR7web,0.2299109371266,False,False,False
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,93,8Lt32hBLz8fYZ9Gyg29eMaXD6JjfjAPMgUTpHiWcVF4A,0.2251375651847,False,False,False
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,94,DSeN8MJ2ZEjzPDQ6JYd82pW3XDh7gz9mS9vePxcy5pDJ,0.2194483771249,False,False,False
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,95,A7BvvGF6yZJfygDN5PiN9WgHXuxPDY5zpPJeLizkH2mi,0.19059642492450002,False,False,False
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,96,9vHSSufXmefvjjtcn4a72vxoFeW9BYxokFERx6EQrQgB,0.1876363313354,False,False,False
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,97,2nLhU26UYYJAcXosG5xJuEtio1Tw2cmRr3fPBWNULcuK,0.1791950296813,False,False,False
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,98,8saoj7qfjD1zDDCHQF4bjoqCkPT2zPHamnUUPTcHR1Ta,0.1773653520764,False,False,False
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,99,Dhq9TEbXXGaXUQw1kNbR2aDWT48ZnzJCXvX6vKWVUvoj,0.17487823864139998,False,False,False
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,100,DfPdgqEmDx1CrTxNoRRRYBWHF6cVYXvP5CUEY8TXWw9B,0.1631502393075,False,False,False
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,101,Fx579qYGSyVnpLEh1kJuAPy63hJJaRcdi7wafUgrpMpQ,0.1617069748171,False,False,False
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,102,4Sm5TpHY6Gv7Aq7VVfRvrUA4s7tnkf9ikcRKXv7FJdXt,0.1559859404792,False,False,False
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,103,GnZ1e35tNZbQGzENeiYyrXRYcJqEhRKzxPewroQpVBaG,0.14852842221819998,False,False,False
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,104,87DHrNLpsu9mRJ3pDs3vXkMT3Qteb1vMDmqRhmvZsvM3,0.1421491092805,False,False,False
